,ts_code,symbol,name,area,industry,market,list_date
912,300047.SZ,300047,天源迪科,深圳,软件服务,创业板,20100120
913,300048.SZ,300048,合康新能,北京,电气设备,创业板,20100120
914,300049.SZ,300049,福瑞股份,内蒙,医疗保健,创业板,20100120
915,300050.SZ,300050,世纪鼎利,广东,通信设备,创业板,20100120
916,300051.SZ,300051,三五互联,福建,互联网,创业板,20100211
917,300052.SZ,300052,中青宝,深圳,互联网,创业板,20100211
918,300056.SZ,300056,中创环保,福建,环境保护,创业板,20100226
919,300057.SZ,300057,万顺新材,广东,铝,创业板,20100226
920,300061.SZ,300061,旗天科技,上海,互联网,创业板,20100319
921,300062.SZ,300062,中能电气,福建,电气设备,创业板,20100319
922,300063.SZ,300063,天龙集团,广东,互联网,创业板,20100326
923,300066.SZ,300066,三川智慧,江西,电器仪表,创业板,20100326
924,300067.SZ,300067,安诺其,上海,染料涂料,创业板,20100421
925,300069.SZ,300069,金利华电,山西,电气设备,创业板,20100421
926,300071.SZ,300071,福石控股,北京,广告包装,创业板,20100421
927,300074.SZ,300074,华平股份,上海,软件服务,创业板,20100427
928,300076.SZ,300076,GQY视讯,浙江,IT设备,创业板,20100430
929,300077.SZ,300077,国民技术,深圳,半导体,创业板,20100430
930,300078.SZ,300078,思创医惠,浙江,软件服务,创业板,20100430
931,300081.SZ,300081,恒信东方,北京,文教休闲,创业板,20100520
932,300084.SZ,300084,海默科技,甘肃,专用机械,创业板,20100520
933,300086.SZ,300086,康芝药业,海南,化学制药,创业板,20100526
934,300089.SZ,300089,*ST文化,广东,文教休闲,创业板,20100625
935,300092.SZ,300092,科新机电,四川,专用机械,创业板,20100708
936,300093.SZ,300093,金刚光伏,甘肃,玻璃,创业板,20100708
937,300094.SZ,300094,国联水产,广东,渔业,创业板,20100708
938,300095.SZ,300095,华伍股份,江西,电气设备,创业板,20100728
939,300096.SZ,300096,易联众,福建,软件服务,创业板,20100728
940,300097.SZ,300097,智云股份,辽宁,专用机械,创业板,20100728
941,300098.SZ,300098,高新兴,广东,软件服务,创业板,20100728
942,300099.SZ,300099,精准信息,山东,电器仪表,创业板,20100806
943,300100.SZ,300100,双林股份,浙江,汽车服务,创业板,20100806
944,300102.SZ,300102,乾照光电,福建,半导体,创业板,20100812
945,300103.SZ,300103,达刚控股,陕西,环境保护,创业板,20100812
946,300105.SZ,300105,龙源技术,山东,电器仪表,创业板,20100820
947,300106.SZ,300106,西部牧业,新疆,乳制品,创业板,20100820
948,300107.SZ,300107,建新股份,河北,化工原料,创业板,20100820
949,300108.SZ,300108,*ST吉药,吉林,中成药,创业板,20100825
950,300110.SZ,300110,华仁药业,山东,化学制药,创业板,20100825
951,300111.SZ,300111,向日葵,浙江,化学制药,创业板,20100827
952,300112.SZ,300112,万讯自控,深圳,电器仪表,创业板,20100827
953,300116.SZ,300116,保力新,陕西,电气设备,创业板,20100902
954,300117.SZ,300117,嘉寓股份,北京,装修装饰,创业板,20100902
955,300120.SZ,300120,经纬辉开,天津,元器件,创业板,20100917
956,300121.SZ,300121,阳谷华泰,山东,化工原料,创业板,20100917
957,300125.SZ,300125,聆达股份,辽宁,电气设备,创业板,20101013
958,300126.SZ,300126,锐奇股份,上海,轻工机械,创业板,20101013
959,300128.SZ,300128,锦富技术,江苏,元器件,创业板,20101013
960,300129.SZ,300129,泰胜风能,上海,电气设备,创业板,20101019
961,300132.SZ,300132,青松股份,福建,化工原料,创业板,20101026
962,300135.SZ,300135,宝利国际,江苏,化工原料,创业板,20101026
963,300137.SZ,300137,先河环保,河北,环境保护,创业板,20101105
964,300139.SZ,300139,晓程科技,北京,元器件,创业板,20101112
965,300140.SZ,300140,中环装备,陕西,环境保护,创业板,20101112
966,300141.SZ,300141,和顺电气,江苏,电气设备,创业板,20101112
967,300145.SZ,300145,中金环境,浙江,机械基件,创业板,20101209
968,300147.SZ,300147,香雪制药,广东,中成药,创业板,20101215
969,300148.SZ,300148,天舟文化,湖南,互联网,创业板,20101215
970,300150.SZ,300150,世纪瑞尔,北京,软件服务,创业板,20101222
971,300152.SZ,300152,新动力,河北,环境保护,创业板,20101229
972,300153.SZ,300153,科泰电源,上海,电气设备,创业板,20101229
973,300154.SZ,300154,瑞凌股份,深圳,机械基件,创业板,20101229
974,300155.SZ,300155,安居宝,广东,IT设备,创业板,20110107
975,300157.SZ,300157,恒泰艾普,北京,石油开采,创业板,20110107
976,300159.SZ,300159,ST新研,新疆,航空,创业板,20110107
977,300160.SZ,300160,秀强股份,江苏,家用电器,创业板,20110113
978,300161.SZ,300161,华中数控,湖北,机床制造,创业板,20110113
979,300162.SZ,300162,雷曼光电,深圳,元器件,创业板,20110113
980,300163.SZ,300163,先锋新材,浙江,其他建材,创业板,20110113
981,300164.SZ,300164,通源石油,陕西,石油开采,创业板,20110113
982,300165.SZ,300165,天瑞仪器,江苏,电器仪表,创业板,20110125
983,300167.SZ,300167,迪威迅,深圳,软件服务,创业板,20110125
984,300169.SZ,300169,天晟新材,江苏,塑料,创业板,20110125
985,300172.SZ,300172,中电环保,江苏,环境保护,创业板,20110201
986,300173.SZ,300173,福能东方,广东,轻工机械,创业板,20110201
987,300174.SZ,300174,元力股份,福建,化工原料,创业板,20110201
988,300175.SZ,300175,朗源股份,山东,食品,创业板,20110215
989,300176.SZ,300176,派生科技,广东,汽车配件,创业板,20110215
990,300179.SZ,300179,四方达,河南,矿物制品,创业板,20110215
991,300181.SZ,300181,佐力药业,浙江,中成药,创业板,20110222
992,300187.SZ,300187,永清环保,湖南,环境保护,创业板,20110308
993,300189.SZ,300189,神农科技,海南,种植业,创业板,20110316
994,300190.SZ,300190,维尔利,江苏,环境保护,创业板,20110316
995,300192.SZ,300192,科德教育,江苏,文教休闲,创业板,20110322
996,300193.SZ,300193,佳士科技,深圳,专用机械,创业板,20110322
